ARI,NL,Arizona Diamondbacks
ATL,NL,Atlanta Braves
BAL,AL,Baltimore Orioles
BOS,AL,Boston Red Sox
CHC,NL,Chicago Cubs
CHW,AL,Chicago White Sox
CIN,NL,Cincinnati Reds
CLE,AL,Cleveland Indians
COL,NL,Colorado Rockies
DET,AL,Detroit Tigers
HOU,AL,Houston Astros
KCR,AL,Kansas City Royals
LAA,AL,Los Angeles Angels
LAD,NL,Los Angeles Dodgers
MIA,NL,Miami Marlins
MIL,NL,Milwaukee Brewers
MIN,AL,Minnesota Twins
NYM,NL,New York Mets
NYY,AL,New York Yankees
OAK,AL,Oakland Athletics
PHI,NL,Philadelphia Phillies
PIT,NL,Pittsburgh Pirates
SDP,NL,San Diego Padres
SEA,AL,Seattle Mariners
SFG,NL,San Francisco Giants
STL,NL,St. Louis Cardinals
TBR,AL,Tampa Bay Rays
TEX,AL,Texas Rangers
TOR,AL,Toronto Blue Jays
WSN,NL,Washington Nationals
